graph #,vertices,edges,girth,min degree,max degree,average degree,num deg 3,num deg 4,num deg 5,num deg 6,cut vertices,vertex connectivity
0,8,25,3,5,7,25/4,0,0,3,0,[],5
1,8,22,3,4,7,11/2,0,2,3,0,[],3
2,8,24,3,5,7,6,0,0,1,6,[],5
3,9,21,3,3,6,14/3,3,0,3,3,[],3
4,9,19,4,3,5,38/9,1,5,3,0,[],3
5,9,23,3,3,6,46/9,1,0,5,3,[],3
6,9,26,3,4,8,52/9,0,1,4,2,[],4
7,9,25,3,4,7,50/9,0,2,2,3,[],4
8,9,23,3,3,6,46/9,1,0,5,3,[],3
9,9,23,3,4,7,46/9,0,4,1,3,[],4
10,9,23,3,4,7,46/9,0,4,1,3,[],4
11,9,26,3,4,8,52/9,0,2,1,4,[],4
12,9,22,3,3,6,44/9,2,1,2,4,[],3
13,9,22,3,3,6,44/9,2,0,4,3,[],3
14,9,23,3,4,7,46/9,0,3,3,2,[],4
15,9,23,3,4,6,46/9,0,2,4,3,[],4
16,9,23,3,4,7,46/9,0,3,4,0,[],4
17,9,23,3,3,6,46/9,1,1,3,4,[],3
18,9,24,3,5,7,16/3,0,0,7,1,[],5
19,9,23,3,4,7,46/9,0,2,5,1,[],4
20,9,23,3,4,7,46/9,0,3,3,2,[],4
21,9,23,3,4,8,46/9,0,2,6,0,[],4
22,9,22,3,3,7,44/9,1,3,2,2,[],3
23,9,26,3,4,8,52/9,0,3,0,4,[],4
24,9,22,3,4,7,44/9,0,4,3,1,[],3
25,9,25,3,3,7,50/9,1,1,2,2,[],3
26,9,22,3,4,6,44/9,0,3,4,2,[],3
27,9,26,3,5,7,52/9,0,0,3,5,[],5
28,9,21,3,3,6,14/3,3,0,3,3,[],3
29,9,22,3,4,6,44/9,0,5,0,4,[],3
30,9,20,3,4,7,40/9,0,7,1,0,[],2
31,9,22,3,4,6,44/9,0,3,4,2,[],3
32,9,22,3,3,7,44/9,1,4,1,1,[],3
33,9,22,3,4,8,44/9,0,6,0,2,[],3
34,9,24,3,3,7,16/3,1,0,5,1,[],3
35,9,24,3,4,6,16/3,0,2,2,5,[],4
36,9,19,3,3,5,38/9,1,5,3,0,[],3
37,9,24,3,3,7,16/3,1,0,4,3,[],3
38,9,24,3,3,7,16/3,1,1,2,4,[],3
39,9,20,3,4,8,40/9,0,8,0,0,[8],1
40,9,20,3,4,6,40/9,0,6,2,1,[],3
41,9,20,3,4,6,40/9,0,7,0,2,[],2
42,9,24,3,5,6,16/3,0,0,6,3,[],5
43,9,20,3,4,5,40/9,0,5,4,0,[],4
44,9,23,3,4,7,46/9,0,4,1,3,[],4
45,9,23,3,4,6,46/9,0,1,6,2,[],4
46,10,21,4,3,7,21/5,7,0,0,0,[],3
47,10,19,4,3,5,19/5,5,2,3,0,[],3
48,10,21,4,3,6,21/5,4,3,0,3,[],3
49,10,21,4,3,6,21/5,3,4,1,2,[],3
50,10,22,3,3,6,22/5,3,1,5,1,[],3
51,10,22,3,3,6,22/5,3,2,3,2,[],3
52,10,22,3,3,6,22/5,1,5,3,1,[],3
53,10,23,3,3,6,23/5,1,3,5,1,[],3
54,10,21,4,3,5,21/5,3,2,5,0,[],3
55,10,25,3,3,6,5,1,2,3,4,[],3
56,10,22,3,3,7,22/5,4,2,2,0,[],3
57,10,22,3,3,6,22/5,3,2,3,2,[],3
58,10,22,3,3,6,22/5,2,5,0,3,[],3
59,10,21,4,3,6,21/5,3,3,3,1,[],3
60,10,24,3,3,7,24/5,2,2,3,2,[],3
61,10,23,3,3,7,23/5,2,2,5,0,[],3
62,10,24,3,3,6,24/5,1,2,5,2,[],3
63,10,24,3,3,6,24/5,1,2,5,2,[],3
64,10,23,3,3,6,23/5,2,2,4,2,[],3
65,10,22,3,3,6,22/5,1,5,3,1,[],3
66,10,24,3,3,6,24/5,1,2,5,2,[],3
67,10,22,3,3,7,22/5,2,5,1,1,[],3
68,10,25,3,4,6,5,0,4,2,4,[],4
69,10,26,3,4,8,26/5,0,4,2,3,[],4
70,10,24,3,4,6,24/5,0,5,2,3,[],4
71,10,26,3,4,8,26/5,0,3,4,2,[],4
72,10,26,3,4,7,26/5,0,3,3,3,[],4
73,10,27,3,4,8,27/5,0,3,2,4,[],4
74,10,26,3,4,7,26/5,0,3,3,3,[],4
75,10,26,3,4,8,26/5,0,3,4,2,[],4
76,10,27,3,4,9,27/5,0,3,3,3,[],4
77,10,27,3,4,8,27/5,0,3,3,2,[],4
78,10,25,3,4,7,5,0,4,3,2,[],4
79,10,25,3,4,7,5,0,4,3,2,[],4
80,10,25,3,4,6,5,0,3,4,3,[],4
81,10,26,3,4,7,26/5,0,4,2,2,[],4
82,10,26,3,4,7,26/5,0,3,3,3,[],4
83,10,26,3,4,7,26/5,0,3,3,3,[],4
84,10,23,3,3,7,23/5,3,2,3,0,[],3
85,10,22,3,3,6,22/5,2,4,2,2,[],3
86,10,22,3,3,6,22/5,1,6,1,2,[],3
87,10,22,3,3,6,22/5,3,2,3,2,[],3
88,10,23,3,3,6,23/5,2,2,4,2,[],3
