graph #,vertices,edges,girth,min degree,max degree,average degree,num deg 3,num deg 4,num deg 5,num deg 6,cut vertices,vertex connectivity
0,8,25,3,5,7,25/4,0,0,3,0,[],5
1,8,22,3,4,7,11/2,0,2,3,0,[],3
2,8,24,3,5,7,6,0,0,1,6,[],5
3,9,26,3,4,8,52/9,0,1,4,2,[],4
4,9,25,3,4,7,50/9,0,2,2,3,[],4
5,9,23,3,4,7,46/9,0,4,1,3,[],4
6,9,26,3,4,8,52/9,0,2,1,4,[],4
7,9,24,3,5,7,16/3,0,0,7,1,[],5
8,9,23,3,4,7,46/9,0,2,5,1,[],4
9,9,23,3,4,8,46/9,0,2,6,0,[],4
10,9,26,3,4,8,52/9,0,3,0,4,[],4
11,9,26,3,5,7,52/9,0,0,3,5,[],5
12,9,22,3,4,6,44/9,0,5,0,4,[],3
13,9,22,3,4,8,44/9,0,6,0,2,[],3
14,9,24,3,3,7,16/3,1,0,5,1,[],3
15,9,20,3,4,8,40/9,0,8,0,0,[8],1
16,9,20,3,4,6,40/9,0,7,0,2,[],2
17,9,24,3,5,6,16/3,0,0,6,3,[],5
18,10,21,4,3,7,21/5,7,0,0,0,[],3
19,10,26,3,4,8,26/5,0,3,4,2,[],4
20,10,26,3,4,7,26/5,0,3,3,3,[],4
21,10,27,3,4,8,27/5,0,3,2,4,[],4
22,10,26,3,4,7,26/5,0,3,3,3,[],4
23,10,27,3,4,9,27/5,0,3,3,3,[],4
24,10,27,3,4,8,27/5,0,3,3,2,[],4
25,10,26,3,4,7,26/5,0,4,2,2,[],4
26,10,26,3,4,7,26/5,0,3,3,3,[],4
27,10,26,3,4,7,26/5,0,3,3,3,[],4
28,10,25,3,4,7,5,0,4,3,2,[],3
29,10,26,3,4,8,26/5,0,3,4,2,[],4
30,10,26,3,4,6,26/5,0,3,2,5,[],4
31,10,26,3,4,7,26/5,0,3,3,3,[],4
32,10,26,3,4,6,26/5,0,3,2,5,[],4
33,10,24,3,3,7,24/5,1,4,3,0,[],3
34,10,25,3,3,6,5,1,3,1,5,[],3
35,10,26,3,4,7,26/5,0,3,4,1,[],4
36,10,26,3,4,7,26/5,0,3,4,1,[],4
37,10,25,3,4,7,5,0,4,3,2,[],4
38,10,25,3,4,7,5,0,5,2,1,[],4
39,10,25,3,4,7,5,0,5,2,1,[],4
40,10,26,3,4,7,26/5,0,2,5,2,[],4
41,10,26,3,4,8,26/5,0,3,4,2,[],4
42,10,26,3,4,7,26/5,0,4,2,2,[],4
43,10,26,3,4,6,26/5,0,2,4,4,[],4
44,10,27,3,4,6,27/5,0,2,2,6,[],4
45,10,27,3,4,7,27/5,0,3,2,3,[],4
46,10,27,3,4,7,27/5,0,3,2,3,[],4
47,10,26,3,4,7,26/5,0,3,3,3,[],4
48,10,25,3,4,8,5,0,5,2,2,[],3
49,10,26,3,4,8,26/5,0,3,4,2,[],4
50,10,26,3,4,7,26/5,0,3,3,3,[],4
51,10,25,3,3,7,5,1,2,4,2,[],3
52,10,24,3,3,7,24/5,2,1,5,1,[],3
53,10,25,3,4,8,5,0,4,4,1,[],4
54,10,25,3,4,7,5,0,5,1,3,[],4
55,10,25,3,3,7,5,1,3,2,3,[],3
56,10,26,3,3,7,26/5,1,3,1,3,[],3
57,10,26,3,4,8,26/5,0,5,1,2,[],4
58,10,27,3,4,8,27/5,0,3,2,4,[],4
59,10,27,3,4,7,27/5,0,3,2,3,[],4
60,10,24,3,3,7,24/5,1,3,4,1,[],3
61,10,25,3,4,7,5,0,5,2,1,[],4
62,10,26,3,4,7,26/5,0,2,5,2,[],4
63,10,26,3,4,7,26/5,0,2,5,2,[],4
64,10,25,3,4,7,5,0,3,5,1,[],4
65,10,25,3,3,6,5,1,2,3,4,[],3
66,10,27,3,4,8,27/5,0,4,1,3,[],4
67,10,24,3,3,7,24/5,1,3,4,1,[],3
68,10,24,3,3,6,24/5,2,1,4,3,[],3
69,10,25,3,4,8,5,0,4,4,1,[],4
70,10,25,3,4,8,5,0,5,2,2,[],4
71,10,24,3,4,6,24/5,0,5,2,3,[],4
72,10,24,3,3,7,24/5,1,3,4,1,[],3
73,10,24,3,3,6,24/5,1,2,5,2,[],3
74,10,27,3,4,9,27/5,0,2,6,0,[],4
75,10,25,3,3,8,5,1,3,3,2,[],3
76,10,24,3,3,7,24/5,2,2,3,2,[],3
77,10,26,3,4,8,26/5,0,4,2,3,[],4
78,10,26,3,4,6,26/5,0,2,4,4,[],4
79,10,26,3,4,6,26/5,0,2,4,4,[],4
80,10,26,3,4,9,26/5,0,5,1,3,[],3
81,10,26,3,4,7,26/5,0,2,5,2,[],4
82,10,26,3,4,8,26/5,0,3,4,2,[],4
83,10,26,3,4,7,26/5,0,5,1,1,[],4
84,10,26,3,4,9,26/5,0,4,4,0,[],4
85,10,26,3,4,7,26/5,0,2,6,0,[],4
86,10,26,3,4,7,26/5,0,2,5,2,[],4
87,10,28,3,4,7,28/5,0,2,3,2,[],4
88,10,24,3,3,6,24/5,2,2,2,4,[],3
