graph_number,k5_minor,k33_minor
0,"{0: [0], 1: [4], 2: [3], 3: [5], 4: [7]}","{0: [2], 1: [7], 2: [0], 3: [5], 4: [4], 5: [3]}"
1,"{0: [7], 1: [2], 2: [3], 3: [5], 4: [6]}","{0: [0], 1: [1], 2: [2], 3: [5], 4: [6], 5: [7]}"
2,"{0: [7], 1: [4], 2: [3], 3: [0, 1], 4: [6]}","{0: [6], 1: [0], 2: [7], 3: [4], 4: [1], 5: [2]}"
3,"{0: [3, 6], 1: [5], 2: [8], 3: [0, 7], 4: [4]}","{0: [2], 1: [0], 2: [4], 3: [6], 4: [7], 5: [8]}"
4,"{0: [6], 1: [1, 7], 2: [3, 5], 3: [0, 8], 4: [2]}","{0: [2], 1: [1], 2: [0], 3: [7], 4: [6], 5: [8]}"
5,"{0: [7], 1: [0, 8], 2: [5], 3: [4], 4: [1, 3, 6]}","{0: [2], 1: [4], 2: [0], 3: [8], 4: [6], 5: [7]}"
6,"{0: [0, 8], 1: [7], 2: [3], 3: [1], 4: [5]}","{0: [2], 1: [5], 2: [0], 3: [6], 4: [7], 5: [8]}"
7,"{0: [7], 1: [4], 2: [0], 3: [2, 5], 4: [6, 8]}","{0: [3], 1: [2], 2: [0], 3: [5], 4: [7], 5: [8]}"
8,"{0: [4, 7], 1: [0, 2, 5], 2: [6], 3: [8], 4: [1]}","{0: [8], 1: [7], 2: [0], 3: [6], 4: [4], 5: [5]}"
9,"{0: [7], 1: [1], 2: [5], 3: [3, 4], 4: [8]}","{0: [1], 1: [0], 2: [2, 7], 3: [4], 4: [5], 5: [8]}"
10,"{0: [8], 1: [5], 2: [1, 6], 3: [0, 7], 4: [4]}","{0: [4], 1: [7, 8], 2: [0, 6], 3: [5], 4: [1], 5: [2]}"
11,"{0: [3], 1: [1, 4, 6], 2: [8], 3: [5], 4: [7]}","{0: [7], 1: [2], 2: [8], 3: [6], 4: [4], 5: [3]}"
12,"{0: [7], 1: [2, 6], 2: [4], 3: [0, 5], 4: [8]}","{0: [1], 1: [8], 2: [0], 3: [3], 4: [4], 5: [5]}"
13,"{0: [2, 3, 5], 1: [1, 6], 2: [0, 7], 3: [4], 4: [8]}","{0: [1], 1: [0], 2: [4], 3: [2], 4: [6], 5: [7]}"
14,"{0: [0], 1: [2], 2: [3, 5, 6], 3: [4, 7], 4: [1, 8]}","{0: [3], 1: [1], 2: [0], 3: [6, 8], 4: [5, 7], 5: [2]}"
15,"{0: [5], 1: [0, 6, 7], 2: [1, 2], 3: [4], 4: [8]}","{0: [1], 1: [0], 2: [4], 3: [6], 4: [8], 5: [2]}"
16,"{0: [4], 1: [7], 2: [3, 6], 3: [0, 5], 4: [8]}","{0: [4], 1: [3], 2: [0], 3: [5], 4: [7], 5: [2]}"
17,"{0: [6], 1: [0, 4, 5], 2: [1], 3: [8], 4: [7]}","{0: [3], 1: [0], 2: [7], 3: [6], 4: [5], 5: [2]}"
18,"{0: [6], 1: [0, 4, 7], 2: [2, 5], 3: [8], 4: [3]}","{0: [6], 1: [7], 2: [3, 5], 3: [2], 4: [0, 1, 8], 5: [4]}"
19,"{0: [2], 1: [6], 2: [0, 7], 3: [4], 4: [5, 8]}","{0: [6], 1: [8], 2: [0], 3: [3], 4: [7], 5: [2]}"
20,"{0: [5], 1: [4], 2: [0, 2], 3: [3, 6], 4: [8]}","{0: [6, 7], 1: [0, 2], 2: [8], 3: [4], 4: [3], 5: [5]}"
21,"{0: [1, 2, 4], 1: [0, 6, 8], 2: [5], 3: [3], 4: [7]}","{0: [1], 1: [0], 2: [7], 3: [4], 4: [3], 5: [8]}"
22,"{0: [1, 5, 8], 1: [2], 2: [0, 7], 3: [3], 4: [6]}","{0: [0], 1: [8], 2: [5], 3: [6], 4: [1], 5: [7]}"
23,"{0: [6], 1: [8], 2: [3], 3: [5], 4: [0, 4, 7]}","{0: [4], 1: [0, 7], 2: [8], 3: [6], 4: [2], 5: [5]}"
24,"{0: [6], 1: [4, 7], 2: [2], 3: [5], 4: [8]}","{0: [3], 1: [2], 2: [7], 3: [5], 4: [6], 5: [1, 8]}"
25,"{0: [2], 1: [4], 2: [6], 3: [7], 4: [8]}","{0: [3], 1: [2], 2: [0, 1, 7, 8], 3: [5], 4: [6], 5: [4]}"
26,"{0: [7], 1: [0, 1, 5, 8], 2: [6], 3: [4], 4: [2, 3]}","{0: [8], 1: [7], 2: [2], 3: [6], 4: [4], 5: [3]}"
27,"{0: [6], 1: [1, 5, 7], 2: [0], 3: [8], 4: [4]}","{0: [0], 1: [3, 8], 2: [7], 3: [6], 4: [1], 5: [4]}"
28,"{0: [7], 1: [8], 2: [3], 3: [5], 4: [4]}","{0: [7], 1: [6], 2: [0], 3: [2], 4: [1], 5: [8]}"
29,"{0: [1], 1: [7], 2: [0, 8], 3: [5], 4: [2, 6]}","{0: [0], 1: [7], 2: [5], 3: [2], 4: [8], 5: [1]}"
30,"{0: [1], 1: [0], 2: [8], 3: [2], 4: [7]}","None"
31,"{0: [6], 1: [3], 2: [0, 2, 8], 3: [4, 7], 4: [5]}","{0: [8], 1: [7], 2: [0, 2, 4, 5], 3: [3], 4: [6], 5: [1]}"
32,"{0: [4], 1: [8], 2: [3], 3: [6], 4: [7]}","{0: [0, 3, 4, 6], 1: [8], 2: [5], 3: [2], 4: [1], 5: [7]}"
33,"{0: [8], 1: [0], 2: [3, 6], 3: [2], 4: [1, 7]}","{0: [7], 1: [3, 8], 2: [0], 3: [6], 4: [2], 5: [1]}"
34,"{0: [3, 7, 8], 1: [0, 5], 2: [2], 3: [4], 4: [1, 6]}","{0: [8], 1: [3], 2: [4], 3: [6], 4: [7], 5: [5]}"
35,"{0: [3], 1: [2, 4], 2: [5, 6], 3: [8], 4: [7]}","{0: [7], 1: [0], 2: [6], 3: [2, 4], 4: [1], 5: [5]}"
36,"{0: [3], 1: [0, 2], 2: [1, 4, 8], 3: [5, 6], 4: [7]}","{0: [6], 1: [7], 2: [0], 3: [3], 4: [2], 5: [1]}"
37,"{0: [3, 8], 1: [7], 2: [0, 2], 3: [1], 4: [5]}","{0: [7], 1: [0, 3, 4, 8], 2: [5], 3: [1], 4: [6], 5: [2]}"
38,"{0: [7], 1: [0, 3, 5, 6], 2: [8], 3: [4], 4: [2]}","{0: [7], 1: [0, 2], 2: [5], 3: [6], 4: [4], 5: [8]}"
39,"{0: [1], 1: [2], 2: [3], 3: [0], 4: [8]}","None"
40,"{0: [6, 8], 1: [1], 2: [0], 3: [3, 4, 5, 7], 4: [2]}","{0: [0], 1: [4], 2: [5], 3: [8], 4: [2, 6], 5: [1, 3, 7]}"
41,"{0: [8], 1: [0, 1, 7], 2: [6], 3: [5], 4: [4]}","{0: [7], 1: [2], 2: [1], 3: [0], 4: [3], 5: [4, 8]}"
42,"{0: [7, 8], 1: [3], 2: [2, 5], 3: [0, 1], 4: [4]}","{0: [4], 1: [6], 2: [0], 3: [3], 4: [7], 5: [1]}"
43,"{0: [7], 1: [6], 2: [8], 3: [5], 4: [4]}","{0: [6], 1: [2, 7], 2: [0, 3], 3: [8], 4: [1], 5: [5]}"
44,"{0: [2], 1: [5], 2: [0, 4], 3: [7], 4: [6, 8]}","{0: [8], 1: [0], 2: [5, 6], 3: [3], 4: [4], 5: [2]}"
45,"{0: [1, 8], 1: [0, 4], 2: [6], 3: [3, 7], 4: [2]}","{0: [7], 1: [8], 2: [0], 3: [1], 4: [3], 5: [2]}"
46,"None","{0: [1], 1: [0], 2: [2], 3: [8], 4: [9], 5: [7]}"
47,"{0: [3, 6], 1: [4, 7], 2: [0, 8], 3: [1, 9], 4: [5]}","{0: [1], 1: [2], 2: [0], 3: [8], 4: [7], 5: [9]}"
48,"{0: [5], 1: [8], 2: [3, 6], 3: [2, 9], 4: [4, 7]}","{0: [7], 1: [9], 2: [8], 3: [1], 4: [2], 5: [5]}"
49,"{0: [3, 8], 1: [5, 6], 2: [4], 3: [9], 4: [0, 7]}","{0: [1], 1: [0], 2: [5], 3: [7], 4: [9], 5: [8]}"
50,"{0: [4, 7, 8], 1: [3], 2: [5], 3: [6], 4: [9]}","{0: [2], 1: [0, 9], 2: [4], 3: [6], 4: [7], 5: [8]}"
51,"{0: [0, 8], 1: [3], 2: [7], 3: [1, 5, 9], 4: [2, 6]}","{0: [3], 1: [1], 2: [0], 3: [8], 4: [9], 5: [7]}"
52,"{0: [5], 1: [2, 6], 2: [1], 3: [4, 7], 4: [3, 9]}","{0: [2], 1: [4], 2: [3], 3: [8], 4: [9], 5: [5]}"
53,"{0: [9], 1: [6, 8], 2: [0, 7], 3: [3, 5], 4: [2]}","{0: [0], 1: [2], 2: [1], 3: [3, 4, 6, 7], 4: [9], 5: [8]}"
54,"{0: [3, 8], 1: [9], 2: [2, 4], 3: [6], 4: [5, 7]}","{0: [6], 1: [0], 2: [5], 3: [8], 4: [9], 5: [7]}"
55,"{0: [2], 1: [8], 2: [0, 3, 4, 7], 3: [1, 6], 4: [5, 9]}","{0: [2], 1: [5], 2: [6], 3: [9], 4: [7], 5: [8]}"
56,"{0: [1, 9], 1: [7], 2: [4], 3: [8], 4: [5]}","{0: [1], 1: [7], 2: [0], 3: [8], 4: [6], 5: [9]}"
57,"{0: [2, 5, 6], 1: [1, 8], 2: [3], 3: [9], 4: [7]}","{0: [2, 5], 1: [0], 2: [4], 3: [8], 4: [6], 5: [9]}"
58,"{0: [4], 1: [2, 6, 8], 2: [0, 9], 3: [5], 4: [7]}","{0: [2], 1: [0], 2: [7], 3: [8], 4: [6], 5: [9]}"
59,"{0: [3], 1: [1, 8], 2: [0, 6], 3: [4, 9], 4: [2, 5, 7]}","{0: [2, 4, 8], 1: [0], 2: [5], 3: [9], 4: [7], 5: [6]}"
60,"{0: [4], 1: [2, 7, 9], 2: [5, 6], 3: [8], 4: [3]}","{0: [1], 1: [0], 2: [4], 3: [6], 4: [7], 5: [9]}"
61,"{0: [3], 1: [2], 2: [4, 6, 7], 3: [8], 4: [5, 9]}","{0: [1], 1: [0], 2: [5], 3: [6], 4: [9], 5: [7]}"
62,"{0: [7, 8], 1: [2, 9], 2: [3], 3: [4], 4: [5]}","{0: [9], 1: [5, 7], 2: [1, 8], 3: [2], 4: [3, 4], 5: [0, 6]}"
63,"{0: [1, 4, 9], 1: [3], 2: [5], 3: [8], 4: [6]}","{0: [7], 1: [1, 4], 2: [5], 3: [2], 4: [3], 5: [8, 9]}"
64,"{0: [9], 1: [8], 2: [1, 4, 5], 3: [2], 4: [0, 6]}","{0: [8], 1: [0], 2: [4], 3: [6], 4: [7], 5: [9]}"
65,"{0: [0, 7, 8], 1: [1, 4, 9], 2: [5], 3: [6], 4: [2]}","{0: [3], 1: [4], 2: [1], 3: [8], 4: [2, 5, 7], 5: [9]}"
66,"{0: [4, 9], 1: [3], 2: [0, 5, 7], 3: [1, 8], 4: [6]}","{0: [3], 1: [4], 2: [1], 3: [9], 4: [8], 5: [6]}"
67,"{0: [1, 2, 4, 7], 1: [3], 2: [0, 6], 3: [9], 4: [8]}","{0: [3], 1: [2], 2: [0, 7], 3: [6], 4: [8], 5: [1]}"
68,"{0: [7], 1: [2], 2: [3], 3: [6, 8], 4: [4, 5, 9]}","{0: [2], 1: [1], 2: [4], 3: [5], 4: [0, 6, 8], 5: [7]}"
69,"{0: [5], 1: [3], 2: [0, 9], 3: [6, 8], 4: [4, 7]}","{0: [4], 1: [9], 2: [6], 3: [1], 4: [7], 5: [3]}"
70,"{0: [0, 7], 1: [3, 4], 2: [1], 3: [5], 4: [6, 9]}","{0: [2], 1: [8], 2: [0], 3: [6], 4: [7], 5: [9]}"
71,"{0: [2, 3], 1: [9], 2: [0, 1, 5, 8], 3: [7], 4: [4]}","{0: [5], 1: [9], 2: [4, 7], 3: [6], 4: [1, 3], 5: [8]}"
72,"{0: [0, 4, 6, 7], 1: [5], 2: [1], 3: [2, 9], 4: [3]}","{0: [4], 1: [6], 2: [0], 3: [9], 4: [7], 5: [8]}"
73,"{0: [0, 8], 1: [2, 4, 7], 2: [9], 3: [6], 4: [5]}","{0: [2, 4, 9], 1: [0], 2: [5], 3: [8], 4: [7], 5: [6]}"
